date,r2
2018-11-02,0.248243225163866
2018-10-11,0.1567287211242957
2018-10-15,0.0012147982159324
2018-11-20,0.10243297737490997
2018-10-17,0.2797701283726811
2018-11-05,0.2508563153084018
2018-11-09,-0.05986855001477709
2018-11-12,0.07512505227284638
2018-10-19,0.22397428129663433
2018-10-31,0.18780070694147433
2018-11-14,0.06215819660873656
2018-11-23,0.23496119069375432
2018-11-08,-1.047558801925419e-07
2018-11-19,0.15434997748078405
2018-10-08,0.24808715013806915
2018-10-12,0.23807312938682423
2018-10-04,0.03262578515624692
2018-10-22,0.2723895027099966
2018-11-06,0.23355313452797055
2018-10-16,0.19815682013375324
2018-11-16,0.2073932207705651
2018-10-18,0.3705122062635703
2018-11-22,0.1402982455201287
2018-10-11,-0.5086636300962055
2018-11-13,0.2037274269779059
2018-10-05,0.04869568664534929
2018-10-09,0.18945419062043067
2018-11-21,0.11884795383826563
2018-11-01,0.19967604985327014
2018-11-15,0.11182740624138887
