date,r2,pca_ratio
2018-10-04,0.1998697763629823,0.9938985754408372
2018-10-05,0.12818959797528073,0.9938807421040011
2018-10-08,0.25485638409413824,0.9938814774558493
2018-10-09,0.24029793062187477,0.9938814215596199
2018-10-11,0.11833423996635029,0.9938745912747974
2018-10-11,0.1190980109153118,0.993885979834834
2018-10-12,0.22621995551317298,0.9938608191478625
2018-10-15,0.2131520848177897,0.9938793710207348
2018-10-16,0.2544128947008186,0.9938805864219151
2018-10-17,0.29930212754158525,0.9939065707589385
2018-10-18,0.3861772681071487,0.993945983219867
2018-10-19,0.2826221240208683,0.993952260597485
2018-10-22,0.25269438858419335,0.993984496610081
2018-10-31,0.2350998531566182,0.9938595726996244
2018-11-01,0.19989318152978286,0.9938450144417716
2018-11-02,0.24078799454728061,0.9938346121917752
2018-11-05,0.2768496409225777,0.9938322452217535
2018-11-06,0.22513586588128387,0.993835953241152
2018-11-08,0.2484475550027666,0.9938028336128286
2018-11-09,0.1694665562599038,0.9937972536815953
2018-11-12,0.1301112849013467,0.9937810615463467
2018-11-13,0.23994824288038386,0.9937863181880212
2018-11-14,0.19609683396604638,0.9937655335196055
2018-11-15,0.09323549287989341,0.993774839384414
2018-11-16,0.198604509844859,0.9937915049641218
2018-11-19,0.1213743387712195,0.9937990062895087
2018-11-20,0.2544415407815963,0.9937730762986403
2018-11-21,0.26230402050345636,0.9937459403119215
2018-11-22,0.17783668584932366,0.9937564413420327
2018-11-23,0.24408714640889617,0.993746861399623
