date,r2,pca_ratio
2018-10-04,0.19266122253150497,0.999364990831762
2018-10-05,0.10386636863560594,0.9993635453842362
2018-10-08,0.2451038504384333,0.9993765731517187
2018-10-09,0.22300668876077534,0.9993762664478179
2018-10-11,1.7177272929158605e-05,0.999376632455454
2018-10-11,0.0011498745417797274,0.9993771171436892
2018-10-12,0.1693737813593159,0.9995241125628679
2018-10-15,0.17328943690651566,0.9995244950993414
2018-10-16,0.25860014812115606,0.9995217462525431
2018-10-17,0.1963735639091323,0.9994986000013699
2018-10-18,0.3074715956071763,0.9994964517585686
2018-10-19,0.20930765109565208,0.9994985872508841
2018-10-22,0.19774448645268572,0.9994927147853216
2018-10-31,0.15811630776605434,0.9995098214585482
2018-11-01,0.15330909260330072,0.9995048977643257
2018-11-02,0.1688627817284829,0.9995067734255824
2018-11-05,0.2286896994806129,0.9995070528551541
2018-11-06,0.22943638506950603,0.9995068101348858
2018-11-08,0.17768781174546688,0.9995068858302251
2018-11-09,0.10933047283223885,0.999506377388269
2018-11-12,0.10389178908714636,0.9995053437051593
2018-11-13,0.16719356600223,0.999506682049915
2018-11-14,0.16466002299897642,0.9995129278552877
2018-11-15,0.11191091871320757,0.9995129346450249
2018-11-16,0.17638274938966025,0.9995147783845261
2018-11-19,0.1283246508192043,0.9995155185311517
2018-11-20,0.2194920706645207,0.9995160992980788
2018-11-21,0.17626126127070796,0.9995176193245715
2018-11-22,0.16029052232088115,0.9995197789908411
2018-11-23,0.17103287098703945,0.9995193497199467
