date,r2
2018-11-08,0.2580239823872402
2018-11-09,0.18444118220981542
2018-11-12,0.137665226556973
2018-11-13,0.26472486243584303
2018-11-14,0.1955979257157494
2018-11-15,0.10148071493218225
2018-11-16,0.2101346743722099
2018-11-19,0.1354389314638449
2018-11-20,0.2592101736673921
2018-11-21,0.26084228315908287
2018-11-22,0.17863301262331177
2018-11-23,0.2505234743961092
2018-11-26,0.14784460529477705
2018-11-27,0.1879917174964768
2018-11-28,0.31993911475800896
2018-11-29,0.26897937581102016
2018-11-30,0.23284042749958422
2018-12-03,0.08926821704961185
2018-12-04,0.15897994337502896
2018-12-05,0.23899544263234807
2018-12-06,0.180975688293891
2018-12-07,0.15397484986027876
2018-12-10,0.17029716397213257
2018-12-11,0.36627645943991716
2018-12-12,0.23487069533004268
2018-12-13,0.20161355957071347
2018-12-14,0.2746295668982047
2018-12-17,0.10644006467142153
2018-12-18,0.22214946386006507
2018-12-19,0.20654265830555307
2018-12-20,0.16407919635737755
2018-12-21,0.2059383792200309
2018-12-22,0.08043276733456173
2018-12-24,0.05105749985347807
2018-12-25,0.1255160795710577
2018-12-26,0.27422158612572867
2018-12-27,0.12844580253514293
