date,r2,pca_ratio
2018-02-22,0.062448445812243736,0.16743370929570286
2018-02-23,0.05076209460720693,0.16276556840439113
2018-02-26,0.029884954357584426,0.1639768917582724
2018-02-27,-0.004936003400445088,0.1641741497849352
2018-03-01,0.05878298486950706,0.1627974795819569
2018-03-01,0.05326998138675032,0.16019839764464075
2018-03-02,0.019906180946707375,0.16015000077809044
2018-03-05,0.10279272380879645,0.16324868946485402
2018-03-06,0.009319627970536759,0.16769065015907045
2018-03-07,0.08887650611415587,0.16665014020435193
2018-03-08,-0.0282979327551649,0.1725270460188383
2018-03-09,0.031485692352465455,0.1688400413343575
2018-03-12,-0.007113340648967625,0.17729458238919735
2018-03-21,0.023326514722288083,0.183942820750177
2018-03-22,0.046196976091811504,0.19129689257968963
2018-03-23,-0.022572201925005198,0.19080505072904191
2018-03-26,-0.02335284050548414,0.18544308907079643
2018-03-27,0.020124398376237362,0.18496441689103046
2018-03-29,0.004236199644332084,0.18359005811622192
2018-03-30,-0.01208644654206159,0.18319079503502328
2018-04-02,0.03411532276717588,0.1809380939886254
2018-04-03,0.06309476610905695,0.18058841026247024
2018-04-09,0.005949903810854806,0.18151753440421434
2018-04-09,0.006975934547861828,0.18098883080152114
2018-04-09,0.007129657214556606,0.18112893930404134
2018-04-09,0.006923754891408729,0.17953647522299201
2018-04-10,0.07596463947910348,0.18048932983687083
2018-04-11,-0.009538227047134695,0.1799894181820626
2018-04-12,0.007245802665754475,0.1786051446442626
2018-04-13,-0.036993311215346436,0.1792093571582614
