date,r2
2018-11-02,0.25180077249791155
2018-10-11,0.13554484485197915
2018-10-15,0.21518905466101002
2018-11-20,0.25931413788996893
2018-10-17,0.29746823941773626
2018-11-05,0.28178245113739187
2018-11-09,0.1781727059346062
2018-11-12,0.1328579903443159
2018-10-19,0.2949296737205692
2018-10-31,0.23537574536014805
2018-11-14,0.1937391060694461
2018-11-23,0.25012498658810634
2018-11-08,0.25579130047362797
2018-11-19,0.13622709050009785
2018-10-08,0.26102918752534443
2018-10-12,0.23197211962680142
2018-10-04,0.21593452519733858
2018-10-22,0.2528646008409384
2018-11-06,0.23078615777074152
2018-10-16,0.26225026287418685
2018-11-16,0.2084722510539796
2018-10-18,0.3913002423112698
2018-11-22,0.1797526156487197
2018-10-11,0.13629839705077518
2018-11-13,0.25657235498092024
2018-10-05,0.140949820098355
2018-10-09,0.24184416481978865
2018-11-21,0.26206753760931156
2018-11-01,0.21262529882243197
2018-11-15,0.09843906235616151
