date,r2,pca_ratio
2018-10-04,0.22216217574654484,0.9999298690367955
2018-10-05,0.11167172514667889,0.9999292962908203
2018-10-08,0.2556479396378234,0.9999304288764945
2018-10-09,0.2252765902526921,0.9999296470823746
2018-10-11,0.06811945700267608,0.9999289201820805
2018-10-11,0.06889451707091432,0.9999289267378372
2018-10-12,0.18439705880291057,0.9999453892339114
2018-10-15,0.18206359412783113,0.9999451563687675
2018-10-16,0.2582742449696309,0.9999445526877146
2018-10-17,0.23968945050631607,0.9999418148650796
2018-10-18,0.34015636346884237,0.999941412537288
2018-10-19,0.23612281237571664,0.9999416673029404
2018-10-22,0.21322015172406272,0.9999408762293753
2018-10-31,0.18657530961950486,0.999942532901419
2018-11-01,0.1556193656079614,0.9999418529040679
2018-11-02,0.19749388860086414,0.9999419225138017
2018-11-05,0.2556003520050574,0.9999419293295367
2018-11-06,0.2505435911191337,0.999941859420451
2018-11-08,0.2193386465808772,0.999941935519786
2018-11-09,0.13452226050950333,0.9999417202930818
2018-11-12,0.10504030656682772,0.9999414886088144
2018-11-13,0.2034612782419013,0.9999414589179393
2018-11-14,0.18365431621880257,0.9999421163679699
2018-11-15,0.12617139356932916,0.9999419497946863
2018-11-16,0.2021645312028415,0.9999421723102512
2018-11-19,0.1389908862775835,0.9999422810545915
2018-11-20,0.24319027670580617,0.9999422728368718
2018-11-21,0.19967912159016787,0.9999424858109899
2018-11-22,0.16822454688566046,0.9999427316727177
2018-11-23,0.19326384579423295,0.9999426950144398
