date,r2,pca_ratio
2018-10-04,0.13361337903224124,0.7586923988255556
2018-10-05,0.0930283523609241,0.7584878540189375
2018-10-08,0.17000627250626532,0.7584684125278834
2018-10-09,0.17837947363150797,0.7586142049423326
2018-10-11,-0.1926721378788352,0.758620927556255
2018-10-11,-0.19263027850013326,0.7585746619069039
2018-10-12,0.10728631926979204,0.7597008519482167
2018-10-15,0.09118283570744135,0.7600972680222184
2018-10-16,0.17081023502342974,0.7599919058315098
2018-10-17,0.15367988408117028,0.7606871646880798
2018-10-18,0.20920790356815588,0.760953872000785
2018-10-19,0.1296332391079279,0.7610914803351857
2018-10-22,0.10226952295360647,0.7618420977977998
2018-10-31,0.12742306042854734,0.761604694521554
2018-11-01,0.11468460978416417,0.761339066867054
2018-11-02,0.14494129267481815,0.7612819177495767
2018-11-05,0.1854832507975558,0.761371824802199
2018-11-06,0.14182465438948866,0.7613617610778683
2018-11-08,0.17059402432547088,0.7612362197069515
2018-11-09,0.07179713218749229,0.7612612280845461
2018-11-12,0.1183890855906291,0.7612530088393025
2018-11-13,0.09130090592514473,0.7611425260596533
2018-11-14,0.12684313024260618,0.7609060600726328
2018-11-15,0.0631149824134628,0.7609647772047925
2018-11-16,0.11626760831524785,0.7611292618389691
2018-11-19,0.15395004360886422,0.7611713067041815
2018-11-20,0.12985945271412203,0.7611953961738412
2018-11-21,0.1019251450443398,0.7610712223305194
2018-11-22,0.13318950102244564,0.7612505274047374
2018-11-23,0.1532270770809524,0.7612476055690206
